Race,Date,Place,Time,Category,Sex,Country,Lane,Person 1,Person 2,split time 1,split time 2,split time 3,Total Time,Final Rank,Air Temp,Wind Speed,Wind Direction,Day,Month,Year,Competiton Type_WORLD CHAMP,Competiton Type_WORLD CUP,Competiton Type_WORLDCHAMPIONSHIPS,Competiton Type_WORLDCHAMPIONSHIPS  ,Competiton Type_WORLDCUP,Competition Round_FINAL A,Competition Round_FINAL B,Competition Round_FINAL C,Competition Round_HEAT,Competition Round_SEMI FINAL,Competition Round_SEMIFINAL
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,MEX,7.0,Lopez Quintero Javier,Medinilla Agustín,52,111,169,228,8.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,CHN,9.0,Xue Yuan,Zhao Yuefeng,57,120,186,247,9.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:55,10.05.2013,SZEGED,10:55,SEN,M,RUS,1.0,Medvedev Ilya,Ryakhov Anton,49,104,159,213,1.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:55,10.05.2013,SZEGED,10:55,SEN,M,POL,5.0,Szandrach Pawel,Kujawski Mariusz,50,105,162,217,2.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:55,10.05.2013,SZEGED,10:55,SEN,M,BLR,2.0,Zhyhadla Dzianis,Litvinchuk Artur,52,109,165,218,3.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:55,10.05.2013,SZEGED,10:55,SEN,M,CUB,7.0,Zulueta Arencibia Maikel,Riveaux Reiner Torres,50,107,166,221,4.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:55,10.05.2013,SZEGED,10:55,SEN,M,AUT,6.0,Wecht Alexander,Trummer Erwin,51,109,168,222,5.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:55,10.05.2013,SZEGED,10:55,SEN,M,CZE,8.0,Davídek Pavel,Kučera Patrik,52,109,167,222,6.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:55,10.05.2013,SZEGED,10:55,SEN,M,KGZ,3.0,Parol Aleksandr,Dorofeev Igor,54,114,179,241,7.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:55,10.05.2013,SZEGED,10:55,SEN,M,HKG,4.0,Fung Wai Him,Ng Ka Chun,58,123,194,260,8.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_15:24,10.05.2013,SZEGED,15:24,SEN,M,POL,5.0,Szandrach Pawel,Kujawski Mariusz,51,105,162,216,1.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
10.05.2013_15:24,10.05.2013,SZEGED,15:24,SEN,M,SRB,4.0,Pajic Dejan,Stanojevic Dusko,50,107,164,216,2.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
10.05.2013_15:24,10.05.2013,SZEGED,15:24,SEN,M,CUB,3.0,Zulueta Arencibia Maikel,Riveaux Reiner Torres,49,105,162,217,3.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
10.05.2013_15:24,10.05.2013,SZEGED,15:24,SEN,M,POR,2.0,Fernandes David,Ribeiro João,50,107,165,217,4.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
10.05.2013_15:24,10.05.2013,SZEGED,15:24,SEN,M,ARG,6.0,De Gesus Juan Pablo,Carreras Gonzalo,53,109,164,218,5.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
10.05.2013_15:24,10.05.2013,SZEGED,15:24,SEN,M,NOR,8.0,Salbu Daniel,Solhaug Jo Sondre,52,109,166,222,6.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
